num,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35
1,469.8751726,-377.902816,508.6275647,322.319501,201.687857,-402.1964146,137.7508136,-30.68549044,-208.609688,-83.86569722,-36.11170694,66.16905349,-96.79054106,-54.12122908,117.0403888,-445.6807304,-327.1315375,318.2105044,405.8372502,-260.0578938,197.9108894,406.9056663,-484.3973692,233.1288512,-254.5741934,-82.11634153,-15.3211065,-190.8036599,4.120790473,-224.1304698,-114.5275772,197.5840814,-176.897829,-79.20000897,-24.84048523
0,-215.5636846,282.456311,-181.3404635,79.21053303,-179.8767616,-161.687534,-15.95788091,220.4938188,-145.8078666,-517.6758838,-61.41308575,14.5099399,67.76123707,-128.9464662,-134.3375985,1118.588929,-419.6995251,48.86463695,239.3697402,-467.3767569,20.53778999,-86.98762145,-1160.462395,158.9824454,316.715338,-984.8979384,-12.63795784,-560.5222345,-842.2295794,-60.16550658,-924.2058599,174.2700922,-86.58637721,205.8398657,126.4379441
1,36.77847235,-59.15227282,-185.6965956,-57.48114393,196.864869,-102.314595,190.9175096,92.76848754,-86.80188942,-186.4239726,0.645103275,20.84671885,-31.4175163,11.52086099,16.90980039,-802.6458169,182.9623562,196.1221221,-517.2250626,94.68790885,-95.03517405,-401.6423822,-608.1866086,283.8869881,461.1064376,-199.2901851,14.74142002,-154.4396986,-147.1154574,-57.8516378,-237.927239,69.51106245,-111.1577242,72.80297312,28.98829251
4,115.8241402,23.3460153,-108.9755668,-55.76591374,296.5453394,-19.35598559,34.18961374,-68.77525642,-68.82091807,2.345404089,90.86457716,18.34335711,2.366027724,2.666856774,-68.7201054,413.3700442,22.09551258,16.21192265,378.6656386,-378.427147,136.9993416,-467.1772459,-225.6415204,-161.3265245,17.81925463,105.128373,276.2689583,-77.86707166,-217.152373,0.482362437,-157.8605608,159.5532753,-27.06951189,-273.8190858,30.06597186
0,-280.6192273,233.845991,-53.12276072,130.9879197,-407.6156864,-93.28302045,-52.06075825,-37.15572899,-135.6783472,-479.4584981,-56.85199548,-182.9155086,48.11669645,-16.56736695,-121.0018625,1172.852721,-582.3112141,-147.3562463,68.77420174,-492.0806039,-126.2155503,220.3040432,-1192.462052,128.1086873,348.6898504,-1056.462079,-143.6218762,-599.6729684,-788.3806241,-126.689913,-993.0405398,246.6030219,-303.0969375,267.2339132,59.92129765
0,16.34897147,-85.01195777,-249.1043274,-103.4089259,-30.40674709,-380.9966517,26.56310144,225.4433312,-207.4749263,-229.933327,-24.33601629,-18.09662453,280.4952674,166.8154468,2.431969613,547.1674859,815.7236353,77.38306063,528.7539563,-455.7275626,-11.37038802,-6.999653315,-427.6513741,330.7902228,37.06073346,-586.8318262,17.10020771,-274.7906421,-181.7659139,-264.0366164,-262.2000764,123.4469989,-264.6348407,43.23551898,-112.2185232
7,130.7155747,124.5975426,35.73295804,-72.15790691,107.3356952,-176.0952187,210.2823153,-37.10209383,79.71918858,-186.8467886,7.489820405,101.3833763,-40.41796354,44.42470466,-70.17311319,-333.9005786,508.2449439,-534.718573,62.26274097,-310.6112081,-49.97523923,110.3015003,-693.7587917,-110.4348565,399.7430803,236.6331535,-213.5397201,-387.7713449,-404.3700742,3.166480084,-299.0550912,-66.94745247,95.18962657,131.1796066,-76.02666351
3,102.5680371,-37.3145459,270.0321581,-28.68813091,-37.61760223,4.828719123,354.9881201,-274.253732,117.9186292,57.14000161,66.15490363,-108.0485951,191.9874205,217.1617139,-268.7265659,193.2477036,73.68780761,64.74834683,162.7229841,-23.70558094,27.27681496,-104.9394998,-403.4242121,285.9305322,250.3079952,-90.9974586,-411.7349767,82.74068996,-473.6330208,-202.606792,-233.8401302,232.9049348,487.2153825,-475.9526243,-95.28688784
5,-301.6917533,-114.9225237,-271.6702043,9.629320695,227.4051942,-430.3294268,404.5128653,-7.391731709,-67.26553115,78.61519831,184.7155154,141.9189674,78.70067676,78.05865672,100.5304631,172.128902,782.6466512,272.3321798,469.8424136,15.74902726,-219.7266655,70.61559609,-434.2619476,658.5780131,28.32725377,-517.4703337,-521.0711281,110.4053178,-392.1642131,-926.6000666,-149.0913042,-129.2696801,-107.7460487,-359.2206627,33.15963123
3,-4.992318627,-170.9453644,281.2839314,-617.8163414,201.8332936,-306.4671072,269.9906532,425.3108496,-122.5884229,-291.9991751,146.7092141,-191.6781242,-147.2756046,-5.338731903,61.99177453,-80.887896,132.7227645,131.4477197,624.4319883,11.55392612,154.8284761,-83.43898274,-807.4932029,433.0920662,501.8403373,-937.0764408,207.4298726,-568.8274272,229.3326494,-160.7308551,-366.2565046,526.6776182,-0.946779886,-196.0089901,-49.15505578
